,id,name,symbol,slug,tags,cmcRank,marketPairCount,circulatingSupply,totalSupply,maxSupply,isActive,lastUpdated,dateAdded,quotes,isAudited,auditInfoList,platform
2374,551,Donu,DONU,donu,"['mineable', 'pos', 'sha-256']",2375,1,5070894.87,6549656.09405,,1,2021-08-16T13:36:05.000Z,2014-08-26T00:00:00.000Z,"[{'name': 'USD', 'price': 0.00894487059133, 'volume24h': 0.0, 'marketCap': 45358.498394389164, 'percentChange1h': -0.68372649, 'percentChange24h': 2.49813288, 'percentChange7d': 2.66879721, 'lastUpdated': '2021-08-16T13:36:05.000Z', 'percentChange30d': 49.91568018, 'percentChange60d': -32.30083186, 'percentChange90d': -61.44701419, 'fullyDilluttedMarketCap': 58585.83, 'marketCapByTotalSupply': 58585.826178993164, 'dominance': 0.0, 'turnover': 0.0, 'ytdPriceChangePercentage': -73.2883}]",False,,
2375,2729,TEAM (TokenStars),TEAM,tokenstars,['sports'],2376,2,12738565.9387,17818682.1654,,1,2021-08-16T13:36:06.000Z,2018-05-11T00:00:00.000Z,"[{'name': 'USD', 'price': 0.00348788725389, 'volume24h': 0.0, 'marketCap': 44430.68177042903, 'percentChange1h': -0.5905459, 'percentChange24h': 2.76720757, 'percentChange7d': 3.1139735, 'lastUpdated': '2021-08-16T13:36:06.000Z', 'percentChange30d': 56.56624553, 'percentChange60d': -20.86877645, 'percentChange90d': -46.09561392, 'fullyDilluttedMarketCap': 62149.55, 'marketCapByTotalSupply': 62149.554405815725, 'dominance': 0.0, 'turnover': 0.0, 'ytdPriceChangePercentage': -85.7344}]",False,,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x1c79ab32C66aCAa1e9E81952B8AAa581B43e54E7'}"
2376,2395,Ignition,IC,ignition,"['mineable', 'masternodes']",2377,1,1447171.926,1460344.85,5000000.0,1,2021-08-16T13:36:04.000Z,2018-01-14T00:00:00.000Z,"[{'name': 'USD', 'price': 0.0306008730756, 'volume24h': 63.53658359, 'marketCap': 44284.72442609759, 'percentChange1h': -0.68372649, 'percentChange24h': -47.45758173, 'percentChange7d': -39.33207437, 'lastUpdated': '2021-08-16T13:36:04.000Z', 'percentChange30d': -34.90635129, 'percentChange60d': -53.15131555, 'percentChange90d': -48.2585858, 'fullyDilluttedMarketCap': 153004.37, 'marketCapByTotalSupply': 44687.82740145612, 'dominance': 0.0, 'turnover': 0.00143473, 'ytdPriceChangePercentage': -33.202}]",False,,
2377,7646,noob.finance,$NOOB,noob-finance,[],2378,1,21876.0,30000.0,,1,2021-08-16T13:36:04.000Z,2020-11-11T00:00:00.000Z,"[{'name': 'USD', 'price': 2.01647678912079, 'volume24h': 0.0, 'marketCap': 44112.4462388064, 'percentChange1h': -0.46862774, 'percentChange24h': 3.50646422, 'percentChange7d': 4.14217542, 'lastUpdated': '2021-08-16T13:36:04.000Z', 'percentChange30d': 61.87283478, 'percentChange60d': 23.79345559, 'percentChange90d': -14.48067797, 'fullyDilluttedMarketCap': 60494.3, 'marketCapByTotalSupply': 60494.3036736237, 'dominance': 0.0, 'turnover': 0.0, 'ytdPriceChangePercentage': 134.5515}]",False,,
2378,4775,Bancacy,BNY,bancacy,[],2379,1,134373899.34078774,581059594.0988983,,1,2021-08-16T13:36:05.000Z,2019-10-13T00:00:00.000Z,"[{'name': 'USD', 'price': 0.00032685255576, 'volume24h': 0.0, 'marketCap': 43920.452426973454, 'percentChange1h': -0.36732203, 'percentChange24h': 3.41550803, 'percentChange7d': 4.19283367, 'lastUpdated': '2021-08-16T13:36:05.000Z', 'percentChange30d': -64.97648532, 'percentChange60d': -86.32116605, 'percentChange90d': -95.22581409, 'fullyDilluttedMarketCap': 189920.81, 'marketCapByTotalSupply': 189920.8133800931, 'dominance': 0.0, 'turnover': 0.0, 'ytdPriceChangePercentage': -95.56}]",False,,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x86149c67e57c749d0a12e6d6c2bf1b616619bb29'}"
2379,2332,STRAKS,STAK,straks,"['mineable', 'masternodes']",2380,1,23858907.000004,47686768.536964,150000000.0,1,2021-08-16T13:36:04.000Z,2018-01-01T00:00:00.000Z,"[{'name': 'USD', 'price': 0.00183605238454, 'volume24h': 0.07717069, 'marketCap': 43806.203089875446, 'percentChange1h': -0.68372649, 'percentChange24h': 28.94926394, 'percentChange7d': 29.16397069, 'lastUpdated': '2021-08-16T13:36:04.000Z', 'percentChange30d': 4.40556298, 'percentChange60d': -40.94138358, 'percentChange90d': -47.57301206, 'fullyDilluttedMarketCap': 275407.86, 'marketCapByTotalSupply': 87555.4050832998, 'dominance': 0.0, 'turnover': 1.76e-06, 'ytdPriceChangePercentage': -6.8811}]",False,,
2380,5233,WinCash,WCC,wincash,[],2381,3,1499784.06661,20000000.0,,1,2021-08-16T13:36:03.000Z,2020-02-21T00:00:00.000Z,"[{'name': 'USD', 'price': 0.02903643119163, 'volume24h': 89.29138489, 'marketCap': 43548.37685242429, 'percentChange1h': -0.0985226, 'percentChange24h': -3.02868981, 'percentChange7d': 3.75089263, 'lastUpdated': '2021-08-16T13:36:03.000Z', 'percentChange30d': 32.65643639, 'percentChange60d': -17.49877402, 'percentChange90d': -17.0497473, 'fullyDilluttedMarketCap': 580728.62, 'marketCapByTotalSupply': 580728.6238326, 'dominance': 0.0, 'turnover': 0.0020504, 'ytdPriceChangePercentage': -93.4078}]",False,,
2381,1216,EDRCoin,EDRC,edrcoin,"['hybrid-pow-pos', 'sha-256']",2382,1,2931223.884105,3669690.535038,,1,2021-08-16T13:36:03.000Z,2016-04-08T00:00:00.000Z,"[{'name': 'USD', 'price': 0.01459426254375, 'volume24h': 0.0, 'marketCap': 42779.05093913899, 'percentChange1h': -0.68372649, 'percentChange24h': 2.49813288, 'percentChange7d': 32.73499179, 'lastUpdated': '2021-08-16T13:36:03.000Z', 'percentChange30d': 54.91286952, 'percentChange60d': -3.70455706, 'percentChange90d': -48.01458014, 'fullyDilluttedMarketCap': 53556.43, 'marketCapByTotalSupply': 53556.42712265898, 'dominance': 0.0, 'turnover': 0.0, 'ytdPriceChangePercentage': 5.7101}]",False,,
2382,3097,XOVBank,XOV,xovbank,[],2383,2,141755902.77304533,150000000.0,,1,2021-08-16T13:36:02.000Z,2018-08-06T00:00:00.000Z,"[{'name': 'USD', 'price': 0.0003007618425, 'volume24h': 0.0, 'marketCap': 42634.766503271974, 'percentChange1h': -0.61512711, 'percentChange24h': 2.69613715, 'percentChange7d': 3.08969732, 'lastUpdated': '2021-08-16T13:36:02.000Z', 'percentChange30d': 24.7937227, 'percentChange60d': 13.14279352, 'percentChange90d': 113.92624391, 'fullyDilluttedMarketCap': 45114.28, 'marketCapByTotalSupply': 45114.276375, 'dominance': 0.0, 'turnover': 0.0, 'ytdPriceChangePercentage': 414.7387}]",False,,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x153ed9cc1b792979d2bde0bbf45cc2a7e436a5f9'}"
2383,4510,Mchain,MAR,mchain,['tourism'],2384,3,68542775.0,68542775.0,210000000.0,1,2021-08-16T13:36:04.000Z,2019-09-10T00:00:00.000Z,"[{'name': 'USD', 'price': 0.0006200173587, 'volume24h': 108.51932498, 'marketCap': 42497.71031346839, 'percentChange1h': -6.40058815, 'percentChange24h': -29.51944911, 'percentChange7d': -4.81201031, 'lastUpdated': '2021-08-16T13:36:04.000Z', 'percentChange30d': -16.29265343, 'percentChange60d': -31.42190775, 'percentChange90d': 3.1228563, 'fullyDilluttedMarketCap': 130203.65, 'marketCapByTotalSupply': 42497.71031346839, 'dominance': 0.0, 'turnover': 0.00255353, 'ytdPriceChangePercentage': -33.7404}]",False,,
